"","child","parent"
"1",61.7,70.5
"2",61.7,68.5
"3",61.7,65.5
"4",61.7,64.5
"5",61.7,64
"6",62.2,67.5
"7",62.2,67.5
"8",62.2,67.5
"9",62.2,66.5
"10",62.2,66.5
"11",62.2,66.5
"12",62.2,64.5
"13",63.2,70.5
"14",63.2,69.5
"15",63.2,68.5
"16",63.2,68.5
"17",63.2,68.5
"18",63.2,68.5
"19",63.2,68.5
"20",63.2,68.5
"21",63.2,68.5
"22",63.2,67.5
"23",63.2,67.5
"24",63.2,67.5
"25",63.2,67.5
"26",63.2,67.5
"27",63.2,66.5
"28",63.2,66.5
"29",63.2,66.5
"30",63.2,65.5
"31",63.2,65.5
"32",63.2,65.5
"33",63.2,65.5
"34",63.2,65.5
"35",63.2,65.5
"36",63.2,65.5
"37",63.2,65.5
"38",63.2,65.5
"39",63.2,64.5
"40",63.2,64.5
"41",63.2,64.5
"42",63.2,64.5
"43",63.2,64
"44",63.2,64
"45",64.2,69.5
"46",64.2,69.5
"47",64.2,69.5
"48",64.2,69.5
"49",64.2,69.5
"50",64.2,69.5
"51",64.2,69.5
"52",64.2,69.5
"53",64.2,69.5
"54",64.2,69.5
"55",64.2,69.5
"56",64.2,69.5
"57",64.2,69.5
"58",64.2,69.5
"59",64.2,69.5
"60",64.2,69.5
"61",64.2,68.5
"62",64.2,68.5
"63",64.2,68.5
"64",64.2,68.5
"65",64.2,68.5
"66",64.2,68.5
"67",64.2,68.5
"68",64.2,68.5
"69",64.2,68.5
"70",64.2,68.5
"71",64.2,68.5
"72",64.2,67.5
"73",64.2,67.5
"74",64.2,67.5
"75",64.2,67.5
"76",64.2,67.5
"77",64.2,67.5
"78",64.2,67.5
"79",64.2,67.5
"80",64.2,67.5
"81",64.2,67.5
"82",64.2,67.5
"83",64.2,67.5
"84",64.2,67.5
"85",64.2,67.5
"86",64.2,66.5
"87",64.2,66.5
"88",64.2,66.5
"89",64.2,66.5
"90",64.2,66.5
"91",64.2,65.5
"92",64.2,65.5
"93",64.2,65.5
"94",64.2,65.5
"95",64.2,65.5
"96",64.2,64.5
"97",64.2,64.5
"98",64.2,64.5
"99",64.2,64.5
"100",64.2,64
"101",64.2,64
"102",64.2,64
"103",64.2,64
"104",65.2,71.5
"105",65.2,70.5
"106",65.2,69.5
"107",65.2,69.5
"108",65.2,69.5
"109",65.2,69.5
"110",65.2,68.5
"111",65.2,68.5
"112",65.2,68.5
"113",65.2,68.5
"114",65.2,68.5
"115",65.2,68.5
"116",65.2,68.5
"117",65.2,68.5
"118",65.2,68.5
"119",65.2,68.5
"120",65.2,68.5
"121",65.2,68.5
"122",65.2,68.5
"123",65.2,68.5
"124",65.2,68.5
"125",65.2,68.5
"126",65.2,67.5
"127",65.2,67.5
"128",65.2,67.5
"129",65.2,67.5
"130",65.2,67.5
"131",65.2,67.5
"132",65.2,67.5
"133",65.2,67.5
"134",65.2,67.5
"135",65.2,67.5
"136",65.2,67.5
"137",65.2,67.5
"138",65.2,67.5
"139",65.2,67.5
"140",65.2,67.5
"141",65.2,66.5
"142",65.2,66.5
"143",65.2,65.5
"144",65.2,65.5
"145",65.2,65.5
"146",65.2,65.5
"147",65.2,65.5
"148",65.2,65.5
"149",65.2,65.5
"150",65.2,64.5
"151",65.2,64
"152",66.2,71.5
"153",66.2,71.5
"154",66.2,71.5
"155",66.2,70.5
"156",66.2,69.5
"157",66.2,69.5
"158",66.2,69.5
"159",66.2,69.5
"160",66.2,69.5
"161",66.2,69.5
"162",66.2,69.5
"163",66.2,69.5
"164",66.2,69.5
"165",66.2,69.5
"166",66.2,69.5
"167",66.2,69.5
"168",66.2,69.5
"169",66.2,69.5
"170",66.2,69.5
"171",66.2,69.5
"172",66.2,69.5
"173",66.2,68.5
"174",66.2,68.5
"175",66.2,68.5
"176",66.2,68.5
"177",66.2,68.5
"178",66.2,68.5
"179",66.2,68.5
"180",66.2,68.5
"181",66.2,68.5
"182",66.2,68.5
"183",66.2,68.5
"184",66.2,68.5
"185",66.2,68.5
"186",66.2,68.5
"187",66.2,68.5
"188",66.2,68.5
"189",66.2,68.5
"190",66.2,68.5
"191",66.2,68.5
"192",66.2,68.5
"193",66.2,68.5
"194",66.2,68.5
"195",66.2,68.5
"196",66.2,68.5
"197",66.2,68.5
"198",66.2,67.5
"199",66.2,67.5
"200",66.2,67.5
"201",66.2,67.5
"202",66.2,67.5
"203",66.2,67.5
"204",66.2,67.5
"205",66.2,67.5
"206",66.2,67.5
"207",66.2,67.5
"208",66.2,67.5
"209",66.2,67.5
"210",66.2,67.5
"211",66.2,67.5
"212",66.2,67.5
"213",66.2,67.5
"214",66.2,67.5
"215",66.2,67.5
"216",66.2,67.5
"217",66.2,67.5
"218",66.2,67.5
"219",66.2,67.5
"220",66.2,67.5
"221",66.2,67.5
"222",66.2,67.5
"223",66.2,67.5
"224",66.2,67.5
"225",66.2,67.5
"226",66.2,67.5
"227",66.2,67.5
"228",66.2,67.5
"229",66.2,67.5
"230",66.2,67.5
"231",66.2,67.5
"232",66.2,67.5
"233",66.2,67.5
"234",66.2,66.5
"235",66.2,66.5
"236",66.2,66.5
"237",66.2,66.5
"238",66.2,66.5
"239",66.2,66.5
"240",66.2,66.5
"241",66.2,66.5
"242",66.2,66.5
"243",66.2,66.5
"244",66.2,66.5
"245",66.2,66.5
"246",66.2,66.5
"247",66.2,66.5
"248",66.2,66.5
"249",66.2,66.5
"250",66.2,66.5
"251",66.2,65.5
"252",66.2,65.5
"253",66.2,65.5
"254",66.2,65.5
"255",66.2,65.5
"256",66.2,65.5
"257",66.2,65.5
"258",66.2,65.5
"259",66.2,65.5
"260",66.2,65.5
"261",66.2,65.5
"262",66.2,64.5
"263",66.2,64.5
"264",66.2,64.5
"265",66.2,64.5
"266",66.2,64.5
"267",66.2,64
"268",66.2,64
"269",67.2,71.5
"270",67.2,71.5
"271",67.2,71.5
"272",67.2,71.5
"273",67.2,70.5
"274",67.2,70.5
"275",67.2,70.5
"276",67.2,69.5
"277",67.2,69.5
"278",67.2,69.5
"279",67.2,69.5
"280",67.2,69.5
"281",67.2,69.5
"282",67.2,69.5
"283",67.2,69.5
"284",67.2,69.5
"285",67.2,69.5
"286",67.2,69.5
"287",67.2,69.5
"288",67.2,69.5
"289",67.2,69.5
"290",67.2,69.5
"291",67.2,69.5
"292",67.2,69.5
"293",67.2,69.5
"294",67.2,69.5
"295",67.2,69.5
"296",67.2,69.5
"297",67.2,69.5
"298",67.2,69.5
"299",67.2,69.5
"300",67.2,69.5
"301",67.2,69.5
"302",67.2,69.5
"303",67.2,68.5
"304",67.2,68.5
"305",67.2,68.5
"306",67.2,68.5
"307",67.2,68.5
"308",67.2,68.5
"309",67.2,68.5
"310",67.2,68.5
"311",67.2,68.5
"312",67.2,68.5
"313",67.2,68.5
"314",67.2,68.5
"315",67.2,68.5
"316",67.2,68.5
"317",67.2,68.5
"318",67.2,68.5
"319",67.2,68.5
"320",67.2,68.5
"321",67.2,68.5
"322",67.2,68.5
"323",67.2,68.5
"324",67.2,68.5
"325",67.2,68.5
"326",67.2,68.5
"327",67.2,68.5
"328",67.2,68.5
"329",67.2,68.5
"330",67.2,68.5
"331",67.2,68.5
"332",67.2,68.5
"333",67.2,68.5
"334",67.2,67.5
"335",67.2,67.5
"336",67.2,67.5
"337",67.2,67.5
"338",67.2,67.5
"339",67.2,67.5
"340",67.2,67.5
"341",67.2,67.5
"342",67.2,67.5
"343",67.2,67.5
"344",67.2,67.5
"345",67.2,67.5
"346",67.2,67.5
"347",67.2,67.5
"348",67.2,67.5
"349",67.2,67.5
"350",67.2,67.5
"351",67.2,67.5
"352",67.2,67.5
"353",67.2,67.5
"354",67.2,67.5
"355",67.2,67.5
"356",67.2,67.5
"357",67.2,67.5
"358",67.2,67.5
"359",67.2,67.5
"360",67.2,67.5
"361",67.2,67.5
"362",67.2,67.5
"363",67.2,67.5
"364",67.2,67.5
"365",67.2,67.5
"366",67.2,67.5
"367",67.2,67.5
"368",67.2,67.5
"369",67.2,67.5
"370",67.2,67.5
"371",67.2,67.5
"372",67.2,66.5
"373",67.2,66.5
"374",67.2,66.5
"375",67.2,66.5
"376",67.2,66.5
"377",67.2,66.5
"378",67.2,66.5
"379",67.2,66.5
"380",67.2,66.5
"381",67.2,66.5
"382",67.2,66.5
"383",67.2,66.5
"384",67.2,66.5
"385",67.2,66.5
"386",67.2,66.5
"387",67.2,66.5
"388",67.2,66.5
"389",67.2,65.5
"390",67.2,65.5
"391",67.2,65.5
"392",67.2,65.5
"393",67.2,65.5
"394",67.2,65.5
"395",67.2,65.5
"396",67.2,65.5
"397",67.2,65.5
"398",67.2,65.5
"399",67.2,65.5
"400",67.2,64.5
"401",67.2,64.5
"402",67.2,64.5
"403",67.2,64.5
"404",67.2,64.5
"405",67.2,64
"406",67.2,64
"407",68.2,72.5
"408",68.2,71.5
"409",68.2,71.5
"410",68.2,71.5
"411",68.2,70.5
"412",68.2,70.5
"413",68.2,70.5
"414",68.2,70.5
"415",68.2,70.5
"416",68.2,70.5
"417",68.2,70.5
"418",68.2,70.5
"419",68.2,70.5
"420",68.2,70.5
"421",68.2,70.5
"422",68.2,70.5
"423",68.2,69.5
"424",68.2,69.5
"425",68.2,69.5
"426",68.2,69.5
"427",68.2,69.5
"428",68.2,69.5
"429",68.2,69.5
"430",68.2,69.5
"431",68.2,69.5
"432",68.2,69.5
"433",68.2,69.5
"434",68.2,69.5
"435",68.2,69.5
"436",68.2,69.5
"437",68.2,69.5
"438",68.2,69.5
"439",68.2,69.5
"440",68.2,69.5
"441",68.2,69.5
"442",68.2,69.5
"443",68.2,68.5
"444",68.2,68.5
"445",68.2,68.5
"446",68.2,68.5
"447",68.2,68.5
"448",68.2,68.5
"449",68.2,68.5
"450",68.2,68.5
"451",68.2,68.5
"452",68.2,68.5
"453",68.2,68.5
"454",68.2,68.5
"455",68.2,68.5
"456",68.2,68.5
"457",68.2,68.5
"458",68.2,68.5
"459",68.2,68.5
"460",68.2,68.5
"461",68.2,68.5
"462",68.2,68.5
"463",68.2,68.5
"464",68.2,68.5
"465",68.2,68.5
"466",68.2,68.5
"467",68.2,68.5
"468",68.2,68.5
"469",68.2,68.5
"470",68.2,68.5
"471",68.2,68.5
"472",68.2,68.5
"473",68.2,68.5
"474",68.2,68.5
"475",68.2,68.5
"476",68.2,68.5
"477",68.2,67.5
"478",68.2,67.5
"479",68.2,67.5
"480",68.2,67.5
"481",68.2,67.5
"482",68.2,67.5
"483",68.2,67.5
"484",68.2,67.5
"485",68.2,67.5
"486",68.2,67.5
"487",68.2,67.5
"488",68.2,67.5
"489",68.2,67.5
"490",68.2,67.5
"491",68.2,67.5
"492",68.2,67.5
"493",68.2,67.5
"494",68.2,67.5
"495",68.2,67.5
"496",68.2,67.5
"497",68.2,67.5
"498",68.2,67.5
"499",68.2,67.5
"500",68.2,67.5
"501",68.2,67.5
"502",68.2,67.5
"503",68.2,67.5
"504",68.2,67.5
"505",68.2,66.5
"506",68.2,66.5
"507",68.2,66.5
"508",68.2,66.5
"509",68.2,66.5
"510",68.2,66.5
"511",68.2,66.5
"512",68.2,66.5
"513",68.2,66.5
"514",68.2,66.5
"515",68.2,66.5
"516",68.2,66.5
"517",68.2,66.5
"518",68.2,66.5
"519",68.2,65.5
"520",68.2,65.5
"521",68.2,65.5
"522",68.2,65.5
"523",68.2,65.5
"524",68.2,65.5
"525",68.2,65.5
"526",68.2,64
"527",69.2,72.5
"528",69.2,72.5
"529",69.2,71.5
"530",69.2,71.5
"531",69.2,71.5
"532",69.2,71.5
"533",69.2,71.5
"534",69.2,70.5
"535",69.2,70.5
"536",69.2,70.5
"537",69.2,70.5
"538",69.2,70.5
"539",69.2,70.5
"540",69.2,70.5
"541",69.2,70.5
"542",69.2,70.5
"543",69.2,70.5
"544",69.2,70.5
"545",69.2,70.5
"546",69.2,70.5
"547",69.2,70.5
"548",69.2,70.5
"549",69.2,70.5
"550",69.2,70.5
"551",69.2,70.5
"552",69.2,69.5
"553",69.2,69.5
"554",69.2,69.5
"555",69.2,69.5
"556",69.2,69.5
"557",69.2,69.5
"558",69.2,69.5
"559",69.2,69.5
"560",69.2,69.5
"561",69.2,69.5
"562",69.2,69.5
"563",69.2,69.5
"564",69.2,69.5
"565",69.2,69.5
"566",69.2,69.5
"567",69.2,69.5
"568",69.2,69.5
"569",69.2,69.5
"570",69.2,69.5
"571",69.2,69.5
"572",69.2,69.5
"573",69.2,69.5
"574",69.2,69.5
"575",69.2,69.5
"576",69.2,69.5
"577",69.2,69.5
"578",69.2,69.5
"579",69.2,69.5
"580",69.2,69.5
"581",69.2,69.5
"582",69.2,69.5
"583",69.2,69.5
"584",69.2,69.5
"585",69.2,68.5
"586",69.2,68.5
"587",69.2,68.5
"588",69.2,68.5
"589",69.2,68.5
"590",69.2,68.5
"591",69.2,68.5
"592",69.2,68.5
"593",69.2,68.5
"594",69.2,68.5
"595",69.2,68.5
"596",69.2,68.5
"597",69.2,68.5
"598",69.2,68.5
"599",69.2,68.5
"600",69.2,68.5
"601",69.2,68.5
"602",69.2,68.5
"603",69.2,68.5
"604",69.2,68.5
"605",69.2,68.5
"606",69.2,68.5
"607",69.2,68.5
"608",69.2,68.5
"609",69.2,68.5
"610",69.2,68.5
"611",69.2,68.5
"612",69.2,68.5
"613",69.2,68.5
"614",69.2,68.5
"615",69.2,68.5
"616",69.2,68.5
"617",69.2,68.5
"618",69.2,68.5
"619",69.2,68.5
"620",69.2,68.5
"621",69.2,68.5
"622",69.2,68.5
"623",69.2,68.5
"624",69.2,68.5
"625",69.2,68.5
"626",69.2,68.5
"627",69.2,68.5
"628",69.2,68.5
"629",69.2,68.5
"630",69.2,68.5
"631",69.2,68.5
"632",69.2,68.5
"633",69.2,67.5
"634",69.2,67.5
"635",69.2,67.5
"636",69.2,67.5
"637",69.2,67.5
"638",69.2,67.5
"639",69.2,67.5
"640",69.2,67.5
"641",69.2,67.5
"642",69.2,67.5
"643",69.2,67.5
"644",69.2,67.5
"645",69.2,67.5
"646",69.2,67.5
"647",69.2,67.5
"648",69.2,67.5
"649",69.2,67.5
"650",69.2,67.5
"651",69.2,67.5
"652",69.2,67.5
"653",69.2,67.5
"654",69.2,67.5
"655",69.2,67.5
"656",69.2,67.5
"657",69.2,67.5
"658",69.2,67.5
"659",69.2,67.5
"660",69.2,67.5
"661",69.2,67.5
"662",69.2,67.5
"663",69.2,67.5
"664",69.2,67.5
"665",69.2,67.5
"666",69.2,67.5
"667",69.2,67.5
"668",69.2,67.5
"669",69.2,67.5
"670",69.2,67.5
"671",69.2,66.5
"672",69.2,66.5
"673",69.2,66.5
"674",69.2,66.5
"675",69.2,66.5
"676",69.2,66.5
"677",69.2,66.5
"678",69.2,66.5
"679",69.2,66.5
"680",69.2,66.5
"681",69.2,66.5
"682",69.2,66.5
"683",69.2,66.5
"684",69.2,65.5
"685",69.2,65.5
"686",69.2,65.5
"687",69.2,65.5
"688",69.2,65.5
"689",69.2,65.5
"690",69.2,65.5
"691",69.2,64.5
"692",69.2,64.5
"693",69.2,64
"694",70.2,72.5
"695",70.2,71.5
"696",70.2,71.5
"697",70.2,71.5
"698",70.2,71.5
"699",70.2,71.5
"700",70.2,71.5
"701",70.2,71.5
"702",70.2,71.5
"703",70.2,71.5
"704",70.2,71.5
"705",70.2,70.5
"706",70.2,70.5
"707",70.2,70.5
"708",70.2,70.5
"709",70.2,70.5
"710",70.2,70.5
"711",70.2,70.5
"712",70.2,70.5
"713",70.2,70.5
"714",70.2,70.5
"715",70.2,70.5
"716",70.2,70.5
"717",70.2,70.5
"718",70.2,70.5
"719",70.2,69.5
"720",70.2,69.5
"721",70.2,69.5
"722",70.2,69.5
"723",70.2,69.5
"724",70.2,69.5
"725",70.2,69.5
"726",70.2,69.5
"727",70.2,69.5
"728",70.2,69.5
"729",70.2,69.5
"730",70.2,69.5
"731",70.2,69.5
"732",70.2,69.5
"733",70.2,69.5
"734",70.2,69.5
"735",70.2,69.5
"736",70.2,69.5
"737",70.2,69.5
"738",70.2,69.5
"739",70.2,69.5
"740",70.2,69.5
"741",70.2,69.5
"742",70.2,69.5
"743",70.2,69.5
"744",70.2,68.5
"745",70.2,68.5
"746",70.2,68.5
"747",70.2,68.5
"748",70.2,68.5
"749",70.2,68.5
"750",70.2,68.5
"751",70.2,68.5
"752",70.2,68.5
"753",70.2,68.5
"754",70.2,68.5
"755",70.2,68.5
"756",70.2,68.5
"757",70.2,68.5
"758",70.2,68.5
"759",70.2,68.5
"760",70.2,68.5
"761",70.2,68.5
"762",70.2,68.5
"763",70.2,68.5
"764",70.2,68.5
"765",70.2,67.5
"766",70.2,67.5
"767",70.2,67.5
"768",70.2,67.5
"769",70.2,67.5
"770",70.2,67.5
"771",70.2,67.5
"772",70.2,67.5
"773",70.2,67.5
"774",70.2,67.5
"775",70.2,67.5
"776",70.2,67.5
"777",70.2,67.5
"778",70.2,67.5
"779",70.2,67.5
"780",70.2,67.5
"781",70.2,67.5
"782",70.2,67.5
"783",70.2,67.5
"784",70.2,66.5
"785",70.2,66.5
"786",70.2,66.5
"787",70.2,66.5
"788",70.2,65.5
"789",70.2,65.5
"790",70.2,65.5
"791",70.2,65.5
"792",70.2,65.5
"793",71.2,72.5
"794",71.2,72.5
"795",71.2,71.5
"796",71.2,71.5
"797",71.2,71.5
"798",71.2,71.5
"799",71.2,70.5
"800",71.2,70.5
"801",71.2,70.5
"802",71.2,70.5
"803",71.2,70.5
"804",71.2,70.5
"805",71.2,70.5
"806",71.2,69.5
"807",71.2,69.5
"808",71.2,69.5
"809",71.2,69.5
"810",71.2,69.5
"811",71.2,69.5
"812",71.2,69.5
"813",71.2,69.5
"814",71.2,69.5
"815",71.2,69.5
"816",71.2,69.5
"817",71.2,69.5
"818",71.2,69.5
"819",71.2,69.5
"820",71.2,69.5
"821",71.2,69.5
"822",71.2,69.5
"823",71.2,69.5
"824",71.2,69.5
"825",71.2,69.5
"826",71.2,68.5
"827",71.2,68.5
"828",71.2,68.5
"829",71.2,68.5
"830",71.2,68.5
"831",71.2,68.5
"832",71.2,68.5
"833",71.2,68.5
"834",71.2,68.5
"835",71.2,68.5
"836",71.2,68.5
"837",71.2,68.5
"838",71.2,68.5
"839",71.2,68.5
"840",71.2,68.5
"841",71.2,68.5
"842",71.2,68.5
"843",71.2,68.5
"844",71.2,67.5
"845",71.2,67.5
"846",71.2,67.5
"847",71.2,67.5
"848",71.2,67.5
"849",71.2,67.5
"850",71.2,67.5
"851",71.2,67.5
"852",71.2,67.5
"853",71.2,67.5
"854",71.2,67.5
"855",71.2,65.5
"856",71.2,65.5
"857",72.2,73
"858",72.2,72.5
"859",72.2,72.5
"860",72.2,72.5
"861",72.2,72.5
"862",72.2,72.5
"863",72.2,72.5
"864",72.2,72.5
"865",72.2,71.5
"866",72.2,71.5
"867",72.2,71.5
"868",72.2,71.5
"869",72.2,71.5
"870",72.2,71.5
"871",72.2,71.5
"872",72.2,71.5
"873",72.2,71.5
"874",72.2,70.5
"875",72.2,70.5
"876",72.2,70.5
"877",72.2,70.5
"878",72.2,69.5
"879",72.2,69.5
"880",72.2,69.5
"881",72.2,69.5
"882",72.2,69.5
"883",72.2,69.5
"884",72.2,69.5
"885",72.2,69.5
"886",72.2,69.5
"887",72.2,69.5
"888",72.2,69.5
"889",72.2,68.5
"890",72.2,68.5
"891",72.2,68.5
"892",72.2,68.5
"893",72.2,67.5
"894",72.2,67.5
"895",72.2,67.5
"896",72.2,67.5
"897",72.2,65.5
"898",73.2,73
"899",73.2,73
"900",73.2,73
"901",73.2,72.5
"902",73.2,72.5
"903",73.2,71.5
"904",73.2,71.5
"905",73.2,70.5
"906",73.2,70.5
"907",73.2,70.5
"908",73.2,69.5
"909",73.2,69.5
"910",73.2,69.5
"911",73.2,69.5
"912",73.2,68.5
"913",73.2,68.5
"914",73.2,68.5
"915",73.7,72.5
"916",73.7,72.5
"917",73.7,72.5
"918",73.7,72.5
"919",73.7,71.5
"920",73.7,71.5
"921",73.7,70.5
"922",73.7,70.5
"923",73.7,70.5
"924",73.7,69.5
"925",73.7,69.5
"926",73.7,69.5
"927",73.7,69.5
"928",73.7,69.5
